"stock","year","2.5%","25%","50%","75%","97.5%","SD"
"UpperLakesAndMainstem",1997,5760.14731156305,6733.07778907655,7252.55250341155,7768.24303306049,8778.05221612088,754.476226139457
"LowerMainstem",1998,785.908313425522,1270.14274183706,1517.14945764773,1778.0707717063,2302.99590199322,379.271897141924
"WhiteDonjek",1998,5432.89800463246,6479.85666847999,7042.78875406786,7592.70022433501,8676.70849139619,810.952621690933
"Pelly",1998,6789.35015255304,8176.59914653394,9036.50036011564,10157.5999344464,12237.852076235,1362.12548092049
"Stewart",1998,7038.92733679665,8896.13142117526,10306.9811845166,11362.5817887965,12928.5970522431,1472.41742886162
"Carmacks",1998,6773.56581170938,7945.05045930831,8550.93739126695,9173.2172928227,10356.4832476063,895.729358974218
"Teslin",1998,4957.28854514004,6210.20907213378,6850.28699196726,7505.88701559849,8748.01035782312,947.68045317077
"MiddleMainstem",1998,1290.9592453825,1666.4947313699,1874.43607813548,2085.03137668609,2474.41309404257,295.863462165017
"UpperLakesAndMainstem",1998,489.540930887284,751.707155731729,886.222976398248,1025.31536186003,1282.74772496052,198.30169851831
"LowerMainstem",1999,5978.41016562035,6961.5894476299,7485.883305517,8000.09097515491,8960.9780914302,745.641981452463
"WhiteDonjek",1999,2561.10000696691,3512.168954875,4012.01840370405,4496.86247279923,5451.88882058719,722.69720340507
"Pelly",1999,4988.91303227344,6171.414919594,6803.71186460204,7429.86668429509,8627.95247203721,909.759859940944
"Stewart",1999,1560.04520185175,2353.91583369278,2772.59058506397,3171.80722030389,3948.58820508254,597.1357508077
"Carmacks",1999,4679.74402711949,5864.72190423583,6464.20921207313,7072.87461136235,8255.91549635209,894.042867308152
"Teslin",1999,5292.76144037908,6498.96220953709,7141.6476277974,7764.42811014338,8933.51052510847,910.187271182347
"MiddleMainstem",1999,2406.27495588057,3276.20481994988,3749.05052121703,4198.3866935479,5088.22474543123,670.487447387665
"UpperLakesAndMainstem",1999,4381.73637521401,5228.61018127158,5655.52359275925,6082.62323723717,6882.78612689588,625.262437920466
"LowerMainstem",2000,6468.51578947683,7453.83714647781,7946.89619153218,8466.28230640866,9436.66043908797,742.036162402784
"WhiteDonjek",2000,3963.57065252293,5016.26927961363,5579.23532212849,6148.4476293356,7242.91011023307,819.834864427535
"Pelly",2000,5058.25669370189,6247.23705352677,6876.83393606039,7489.01375885922,8649.41322891313,897.78913380281
"Stewart",2000,1026.8771034116,1698.75566813262,2074.64835326077,2462.0754923678,3162.65150772864,533.943601079258
"Carmacks",2000,4851.61836897652,5997.98788741173,6600.39673084339,7188.93335280351,8343.51555542294,872.974296611606
"Teslin",2000,5458.71786599056,6640.7136584288,7266.09040292684,7882.28746567184,9073.86447590984,903.786652479821
"MiddleMainstem",2000,6817.79695172116,7989.66163984567,8595.83521483453,9199.92385755567,10377.2861165374,889.872291204064
"UpperLakesAndMainstem",2000,3500.97057488233,4142.656419108,4477.5735558129,4829.06257368265,5483.54138956545,495.642703670778
"LowerMainstem",2001,5562.07354630758,7517.01432685338,8518.00022037785,9564.91338973732,11477.3539167143,1478.82009260168
"WhiteDonjek",2001,3383.69107024063,4778.84648139702,5560.64044135428,6324.52425660965,7720.80045513657,1084.27734622398
"Pelly",2001,5128.52837538656,7149.16166136695,8172.64583932622,9212.05033450781,11220.1945987691,1522.91655584563
"Stewart",2001,2266.79424801953,3463.5792067635,4087.71583183306,4710.43388032663,5879.26500514394,903.117689281102
"Carmacks",2001,1773.75154317901,2843.20910996225,3427.45046839756,4019.43909250218,5152.44599754306,844.673613591013
"Teslin",2001,18397.8625914366,23039.1230754683,25455.789735325,27899.4194226894,32472.1475468838,3518.5712388618
"MiddleMainstem",2001,28080.0728261735,35737.284894863,39763.6816000048,43886.7387716666,51629.4086036177,5887.33394436104
"UpperLakesAndMainstem",2001,10586.9970251769,16814.5180433063,20080.2337213906,23370.6373233683,29806.4251726871,4804.85703687755
"LowerMainstem",2002,8011.80159286556,9340.35805318131,10064.0759595745,10779.5877735545,12187.0697349374,1043.81703551795
"WhiteDonjek",2002,1200.02023343852,2020.40641186379,2446.74411364935,2885.32382047981,3707.29373421832,626.818375194949
"Pelly",2002,4489.05406333792,5672.7315243624,6317.9912811119,6935.16141519044,8115.99129776007,906.734308605537
"Stewart",2002,2141.92497501039,3095.2941539806,3588.66609618046,4085.60580453422,5030.86674335574,722.235442086338
"Carmacks",2002,4072.88832614095,5457.91354036091,6169.60144808775,6894.95913541454,8299.70464923973,1056.7040807747
"Teslin",2002,9674.84519531854,11824.3115998766,12966.7140798719,14089.6942686092,16312.3559239638,1659.37768216131
"MiddleMainstem",2002,15357.7902366109,17772.6672568735,19003.9026412564,20241.5818156615,22655.6059415099,1824.45392622476
"UpperLakesAndMainstem",2002,2924.13751201739,3595.98833019104,3942.79394219026,4283.40596610893,4952.25860425934,507.030273060486
"LowerMainstem",2003,14368.6457180224,16369.1432850252,17424.4692516171,18508.4456995505,20522.3259792544,1538.42006530801
"WhiteDonjek",2003,7828.76117645831,9233.49535999497,9987.568102571,10740.698556656,12141.3340714146,1078.14322373907
"Pelly",2003,11297.8065209246,13479.6165203746,14653.1670423563,15841.3087299017,17992.3128126422,1673.6265729294
"Stewart",2003,1683.21941149979,2760.31429077175,3326.32386701328,3908.54964092067,4972.60936303465,822.347487883715
"Carmacks",2003,5182.31802546846,6681.14691805759,7489.02427451906,8279.01029993085,9828.33872475924,1161.50517482269
"Teslin",2003,6635.31278957235,8198.62089484385,9013.32771325678,9810.37378349723,11364.6858058268,1182.34325406362
"MiddleMainstem",2003,4859.88336116759,5971.05318986045,6548.04703985967,7126.69674150426,8242.92905809379,845.761424231551
"UpperLakesAndMainstem",2003,4240.57563468352,5007.7131832906,5426.61204066742,5858.94062269372,6641.61509752213,600.259865709652
"LowerMainstem",2004,11618.8861096728,13159.5811722422,14008.6861488416,14827.449144492,16348.220972916,1182.3337158108
"WhiteDonjek",2004,2185.36852538704,3402.04575219156,3997.3322054814,4613.7398395191,5810.11865863296,906.187533311478
"Pelly",2004,8626.49084493064,10410.6967103737,11370.4584854331,12349.6490980141,14270.1570002295,1410.91653882471
"Stewart",2004,3307.18850881358,4680.92937046599,5384.25951808964,6078.08848299842,7417.04014228998,1027.4629083691
"Carmacks",2004,4921.22600559082,6322.14222521029,7036.67439458732,7745.84577212418,9123.60988610469,1050.59597012847
"Teslin",2004,5398.0633120365,6836.97096457287,7618.76852552081,8408.64595439102,9877.33681550208,1119.81837586639
"MiddleMainstem",2004,11498.8089275397,13096.056745073,13898.4906194778,14735.5305391438,16387.1134486417,1222.07613027551
"UpperLakesAndMainstem",2004,6512.81286794497,7567.2975226421,8133.26949251477,8683.68117259333,9741.07580796683,807.065735005467
"LowerMainstem",2005,10747.1335007924,12539.6235173975,13471.061036955,14413.2671127048,16204.0558198837,1364.23057977282
"WhiteDonjek",2005,5866.24965349591,7638.9532916361,8579.71127343523,9544.34648077844,11359.3195443134,1373.26747270438
"Pelly",2005,7048.4390236556,8573.9249269819,9350.54853059574,10156.8931177051,11748.3653943199,1174.98159266608
"Stewart",2005,2020.10891025591,3230.78398846594,3863.708930501,4512.31502789633,5723.98766377545,925.969688379883
"Carmacks",2005,13110.4870256812,13712.9154318771,14030.798280882,14340.7614968416,14944.3792047747,458.473044773374
"Teslin",2005,18641.9760000905,20421.8389300802,21365.9882079365,22296.911740746,24138.8468205074,1374.21770510424
"MiddleMainstem",2005,5048.95295256712,5634.82799327364,5943.91807036526,6241.30795661758,6850.51340294056,450.390112593358
"UpperLakesAndMainstem",2005,4488.42772153222,4729.45077458736,4858.19509729653,4983.50303134415,5223.08196470013,183.663560791978
"LowerMainstem",2006,1499.2033006927,1678.4409845271,1775.04382781082,1870.01609167233,2033.92857359056,133.681318224465
"WhiteDonjek",2006,1996.39107950584,4572.73498309513,6489.47917471571,15127.5385272286,16415.4029222348,3604.75296068224
"Pelly",2006,10050.7333871966,13149.0134311303,15782.2715443147,16964.9167696884,17843.2041776213,1948.11769760618
"Stewart",2006,8997.53454278358,11364.1104866508,13658.5911401724,16664.9727350662,17439.8586621205,2110.58102983424
"Carmacks",2006,3808.14560323003,6086.41412630038,7197.37530578328,8243.66727294763,10139.774046411,1582.90711079525
"Teslin",2006,14766.5936470606,16635.1744553289,17588.1848362124,18563.8065576316,20280.318046422,1378.43109984035
"MiddleMainstem",2006,6536.67748839527,6875.2511297042,7078.85278157204,7278.18180194603,7578.71179961658,260.508577805327
"UpperLakesAndMainstem",2006,2239.53862523258,2349.45585070846,2408.93207261414,2467.18525828083,2574.68768000192,83.7872636923355
"LowerMainstem",2007,2073.67306176419,2404.00462998174,2570.83114544777,2735.37680083237,3060.28579968401,246.653184479955
"WhiteDonjek",2007,6600.68263417708,6827.61929153221,6944.42871930916,7060.6970427093,7277.64251233585,169.239969539695
"Pelly",2007,8482.80628832445,9840.14833394955,10550.2138669228,11290.5175365002,12721.6283004821,1059.7055030394
"Stewart",2007,2815.69524441352,4101.94347146083,4790.11813214797,5467.65835038197,6777.17653528745,990.370322718482
"Carmacks",2007,5520.52041850544,5738.47073920288,5850.76649394726,5967.8533441487,6188.82254112728,167.075530655459
