"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"75","Pelly",1994,9.50770454037841,11.8554529590622,14.7422418408967,4.55076869803575,6.06435138625927,8.07933454425283
"76","Stewart",1994,3.91611957302359,5.03955595319389,6.42473318309119,2.58627156691178,3.79168688735899,5.58735764640983
"77","Carmacks",1994,8.78741158769003,10.9474342490573,13.6735976745694,4.34818182866593,5.75383141788715,7.67341430451605
"78","Teslin",1994,7.81995369613785,9.86601336358814,12.4239787534315,2.45419030810639,3.7356032969828,5.72095966100289
"79","Middle Mainstem",1994,16.180461289962,20.3256128030709,25.6346140048935,5.63310844316462,7.31551357836709,9.49572079011536
"80","Upper Lakes and Mainstem",1994,7.38761584522002,9.3781759927832,11.9294399763462,3.80826000114708,4.85458230635349,6.16040352119614
"81","Lower Mainstem",1995,10.8695015733705,13.398108903529,16.4809453090034,6.55641696694412,8.38353725578508,10.6573157000155
"82","White-Donjek",1995,6.36501008369608,7.96425408990314,9.92813207285691,2.47732260175394,5.67380984158936,12.439701428901
"83","Pelly",1995,10.0321996375345,12.3752328521693,15.3071603047894,5.48758551417598,8.37657805936525,13.0895858834371
"84","Stewart",1995,4.20910832776998,5.31873171368009,6.73394925492159,4.35399880467615,5.99893298550272,8.27855165932136
"85","Carmacks",1995,6.91421074213207,8.69474240891543,10.871667729406,5.89970674946744,8.20465097584592,11.44383014594
"86","Teslin",1995,14.1176117245269,17.7758649996891,22.625618672991,5.77138486730564,7.92179015513549,10.7742406406518
"87","Middle Mainstem",1995,34.559196549626,42.8793275534036,53.0922420492402,19.0073335563173,22.3461021737252,26.220247970651
"88","Upper Lakes and Mainstem",1995,13.1576801919347,17.0952926289098,22.4339411706845,5.94837237352841,7.28958840881385,8.94714547215602
"89","Lower Mainstem",1996,11.6992016635685,14.4342007610247,18.023015700315,9.57377109267104,11.512343488681,13.8640534094343
"90","White-Donjek",1996,4.92131918399459,6.26200925747598,7.90049799733345,6.98994267069361,9.05137740008625,11.6997705466521
"91","Pelly",1996,8.98028743815246,11.1222205439994,13.6929738319795,4.61899542527885,6.22638407292165,8.39303287247264
"92","Stewart",1996,3.84980674417041,4.87683929288372,6.15279084777729,2.17339563216002,3.35351654993683,5.16949808253577
"93","Carmacks",1996,7.12049225116074,8.94569446031102,11.2231823527731,7.31980733934929,9.18081467105826,11.4849609423865
"94","Teslin",1996,7.04751904919244,9.24559908101144,12.129268682957,6.37236185206751,8.27176610692611,10.8482178028735
"95","Middle Mainstem",1996,33.2020154248947,40.6607824433129,49.893078867495,12.2777380327091,14.5453438208009,17.0824132599928
"96","Upper Lakes and Mainstem",1996,8.16679504404527,10.4934546460534,13.5608933580881,4.41719378664213,5.49297255768036,6.77658090156364
"97","Lower Mainstem",1997,19.1493146422103,23.5029792523748,29.2192100871731,9.21250010120949,10.7099696961696,12.4257003538209
"98","White-Donjek",1997,8.36946200849213,10.420262506564,13.0448294747547,2.91142024509676,3.99583081061105,5.46393180386891
"99","Pelly",1997,14.8183817701024,18.2046702853614,22.5258805336477,6.36871976816092,8.55791350337162,11.429489234071
"100","Stewart",1997,4.45507307171745,5.67040934352396,7.23966337608994,3.52978896862955,5.32521921804942,8.03454539693586
"101","Carmacks",1997,9.61855806448671,12.0093063439694,14.9506831594331,12.3451012178731,15.4009996576722,19.206068346022
"102","Teslin",1997,5.1206111184074,6.67060991523162,8.59955477357325,3.23180591566644,4.91561431646158,7.53504343102793
"103","Middle Mainstem",1997,22.7642262715728,28.0556450061967,34.56261863659,19.971128250559,23.5116795820924,27.6442826913446
"104","Upper Lakes and Mainstem",1997,7.31751491572304,9.07706939427786,11.2883068485964,5.21304915785387,6.43810270066418,8.01409269597051
"105","Lower Mainstem",1998,23.5708950719629,28.9795273307444,36.0722774348743,1.2065501245871,1.90429691191818,3.03849907696383
"106","White-Donjek",1998,8.96525625452292,11.1342095508589,13.8737931623623,4.8424727929669,5.98110225044878,7.42559731358239
"107","Pelly",1998,18.5149093700876,22.8286886747385,28.2825414540317,6.13408244787896,7.49866843258173,9.13655202345299
"108","Stewart",1998,7.21728119130326,9.20399939657455,11.7825945759833,5.6814774090136,7.773219438915,10.5838733944858
"109","Carmacks",1998,12.753442434674,15.8052069393398,19.6759794683092,4.24622066835077,6.70821526724202,10.3141114589823
"110","Teslin",1998,7.87531049030948,9.9493365624459,12.6370094894778,5.96976373716668,7.25148382501078,8.81545462957414
"111","Middle Mainstem",1998,26.9768807598184,33.0175253545296,40.9202097100882,1.45310600605921,1.95931372831876,2.64594928174242
"112","Upper Lakes and Mainstem",1998,11.6162130498715,14.3113289781822,17.9938279912227,0.693614553693561,1.05165899756804,1.58520795751696
"113","Lower Mainstem",1999,15.3812680471815,19.1363852584913,23.9119506037106,4.51294079047887,5.57882757050029,6.92594359442765
"114","White-Donjek",1999,7.39731741658362,9.40852570196052,11.9979760706893,2.29749833404369,3.28678266496656,4.7448283945815
"115","Pelly",1999,11.551154175124,14.3848731538881,17.9216394573022,3.81762595319504,5.02807868833403,6.58898433323019
"116","Stewart",1999,4.17700319211784,5.45686742469284,7.05708073807803,1.5437399229405,2.34357032572247,3.50528086142409
"117","Carmacks",1999,12.4948189167449,15.4635084591399,19.2500155701708,3.67640683274196,4.89580486310994,6.53865567592662
"118","Teslin",1999,8.82374523161787,11.1189402510029,14.0393759240908,2.71811076711303,3.80250187183132,5.29309011847523
"119","Middle Mainstem",1999,18.4464623003466,22.4962757097654,27.7680770017074,4.03470675064712,5.13900536314615,6.62454374263005
"120","Upper Lakes and Mainstem",1999,7.78546367524452,9.5608524683249,11.8314250800807,3.09766920725308,3.92711998441574,4.98718097356795
"121","Lower Mainstem",2000,15.9151046578803,19.5459965014471,24.0018001252905,5.58711718839994,6.70716117613872,8.05152470521353
"122","White-Donjek",2000,6.21027574248107,7.94617238072705,10.1141283930101,3.39400264010384,4.47880352542833,5.95709177186029
