count_type,month,day,count,year,julian
fishWheel,9,9,0,1988,253
fishWheel,9,10,0,1988,254
fishWheel,9,11,0,1988,255
fishWheel,9,12,0,1988,256
fishWheel,9,13,0,1988,257
fishWheel,9,14,0,1988,258
fishWheel,9,15,0,1988,259
fishWheel,9,16,0,1988,260
fishWheel,9,17,0,1988,261
fishWheel,9,18,0,1988,262
fishWheel,9,19,0,1988,263
fishWheel,9,20,0,1988,264
fishWheel,9,21,0,1988,265
fishWheel,9,22,0,1988,266
fishWheel,9,23,0,1988,267
fishWheel,9,24,0,1988,268
fishWheel,9,25,0,1988,269
fishWheel,9,26,1,1988,270
fishWheel,9,27,0,1988,271
fishWheel,9,28,0,1988,272
fishWheel,9,29,0,1988,273
fishWheel,9,30,0,1988,274
fishWheel,10,1,0,1988,275
fishWheel,10,2,0,1988,276
fishWheel,10,3,0,1988,277
fishWheel,10,4,0,1988,278
fishWheel,10,5,0,1988,279
fishWheel,10,6,0,1988,280
fishWheel,10,7,0,1988,281
fishWheel,10,8,0,1988,282
fishWheel,10,9,0,1988,283
fishWheel,10,10,0,1988,284
fishWheel,6,23,0,1989,174
fishWheel,6,24,0,1989,175
fishWheel,6,25,0,1989,176
fishWheel,6,26,0,1989,177
fishWheel,6,27,0,1989,178
fishWheel,6,28,0,1989,179
fishWheel,6,29,0,1989,180
fishWheel,6,30,0,1989,181
fishWheel,7,1,0,1989,182
fishWheel,7,2,0,1989,183
fishWheel,7,3,1,1989,184
fishWheel,7,4,0,1989,185
fishWheel,7,5,1,1989,186
fishWheel,7,6,1,1989,187
fishWheel,7,7,0,1989,188
fishWheel,7,8,6,1989,189
fishWheel,7,9,11,1989,190
fishWheel,7,10,5,1989,191
fishWheel,7,11,7,1989,192
fishWheel,7,12,15,1989,193
fishWheel,7,13,28,1989,194
fishWheel,7,14,23,1989,195
fishWheel,7,15,33,1989,196
fishWheel,7,16,40,1989,197
fishWheel,7,17,49,1989,198
fishWheel,7,18,35,1989,199
fishWheel,7,19,42,1989,200
fishWheel,7,20,37,1989,201
fishWheel,7,21,49,1989,202
